,Unnamed: 0,thought,original_label,cleaned_thought,all-mpnet-base-v2 x,all-mpnet-base-v2 y,all-MiniLM-L12-v2 x,all-MiniLM-L12-v2 y,All-Distilroberta-v1 x,All-Distilroberta-v1 y,all-mpnet-base-v2 k-mean,all-MiniLM-L12-v2 k-mean,All-Distilroberta-v1 k-mean,all-mpnet-base-v2 aglo,all-MiniLM-L12-v2 aglo,All-Distilroberta-v1 aglo
0,0,"Someone I trusted stole something valuable of mine, I was extremely angry and wanted justice",emotional reasoning,someone trusted stole something valuable mine extremely angry wanted justice,7.1112337,-0.97571963,-0.212635,7.857626,8.934525,10.044689,3,6,11,1,2,3
1,1,She doesn't respect me.,overgeneralizing,doesnt respect,3.7214653,-0.55219823,-4.846294,10.223538,15.817594,3.87861,13,1,8,0,4,1
2,2,My friend is ignoring his recently-deceased wife.,disqualifying the positive,friend ignoring recentlydeceased wife,3.0036306,1.1535945,-5.1652713,7.893388,14.585427,7.560087,1,1,3,0,0,1
3,3,he took me for granted!,"labeling,catastrophizing",took granted,2.7425547,5.979393,0.6166425,6.5058265,14.905555,10.003979,1,16,17,0,2,1
4,4,We will not be able to complete the work that needs to be done,catastrophizing,able complete work need done,13.281578,3.7088428,5.4904757,6.91482,-4.8703494,10.144518,15,3,6,1,2,0
5,5,I failed our company & myself,personalizing,failed company,13.181269,0.8980135,2.5297065,7.665045,-3.446122,7.972651,5,3,5,1,2,0
6,6,Am I not explaining the material well?,"all-or-nothing thinking,personalizing",explaining material well,11.014219,2.7723105,10.890133,8.443132,-6.695788,6.5728703,16,5,12,1,3,0
7,7,We won't be able to find the store before it closes.,"fortune telling,all-or-nothing thinking,emotional reasoning,catastrophizing",wont able find store close,16.845917,0.9624505,5.13992,3.2267118,-1.6956582,8.412883,5,7,1,1,0,0
8,8,He doesn't love me.,overgeneralizing,doesnt love,2.0914114,7.305737,0.35923326,3.2767494,14.718331,8.078211,1,16,3,0,2,1
9,9,Suicidal thoughts,emotional reasoning,suicidal thought,10.643735,14.19713,10.703546,-3.1888742,6.2249284,-0.20195976,2,11,14,2,1,2
10,10,I'm not smart enough to succeed at mturk,"all-or-nothing thinking,labeling,overgeneralizing,fortune telling,personalizing",im smart enough succeed mturk,12.511445,5.3683376,7.3480983,6.692887,-2.7746472,4.3756533,8,17,4,2,2,4
11,11,My mother in law thinks I am an incompetent father.,"mind reading,negative feeling or emotion,all-or-nothing thinking,labeling,personalizing",mother law think incompetent father,7.390014,-0.8211723,2.5173318,8.887276,14.502335,2.1540082,14,12,15,1,2,1
12,12,I thought I was being taken advantage of.,"labeling,emotional reasoning",thought taken advantage,5.059008,4.7888904,0.3647666,6.706728,9.05686,7.949781,3,6,11,1,2,3
13,13,I can't and never will escape this prison at my moms house,negative feeling or emotion,cant never escape prison mom house,11.877429,11.443736,10.210907,-0.93704796,-1.4582777,4.577357,2,2,4,2,1,4
14,14,I'm not who I want to be. I hate my appearance and my voice.,labeling,im want hate appearance voice,8.734699,11.253982,9.156467,-0.3212166,4.882439,1.0475472,11,4,14,2,1,2
15,15,I am scared of my future life and being in sorrow of breakup and didn't feel light of overthinking,emotional reasoning,scared future life sorrow breakup didnt feel light overthinking,12.056983,7.696259,11.041677,-1.050967,8.690858,0.5617424,6,15,0,2,1,2
16,16,"If I don't sleep well one night due to panic attack, then I it will only get worse",fortune telling,dont sleep well one night due panic attack get worse,13.973081,9.647218,12.992555,3.5817833,7.204468,0.19540666,6,15,14,2,1,2
17,17,I'm a failure,disqualifying the positive,im failure,11.739186,7.715866,12.894563,4.3630395,-2.3918147,6.003817,15,14,4,2,1,0
18,18,I am a hard person to love,labeling,hard person love,5.261428,11.322476,-0.8078392,-0.32142064,8.539744,3.4436371,4,8,16,0,0,2
19,19,Someone please kill me,negative feeling or emotion,someone please kill,10.487784,14.391387,10.686065,-2.0616622,5.832352,1.4415785,2,11,14,2,1,2
20,20,I hate everyone,negative feeling or emotion,hate everyone,4.8361187,8.744292,0.95545816,0.40886694,9.223455,5.734793,17,4,16,0,0,3
21,21,I can't pay my bills.,negative feeling or emotion,cant pay bill,16.693897,1.9278388,6.8202157,2.5300949,-2.2722154,6.1541862,5,7,1,2,0,0
22,22,I'll screw it over,fortune telling,ill screw,16.57742,2.0424247,4.945157,3.4926212,-6.6109962,7.436259,7,7,12,2,0,0
23,23,"I was searching my brain to figure out why she didn't like me, and it made me so sad to think I'd hurt her feelings or caused a problem for her.",negative feeling or emotion,searching brain figure didnt like made sad think id hurt feeling caused problem,2.82038,0.35542357,-4.950005,10.096863,14.5217495,2.1637983,13,1,8,0,4,1
24,24,Fuck you,negative feeling or emotion,fuck,8.297022,10.976042,8.898061,-0.27034837,7.0146174,2.4251664,11,4,16,2,1,2
25,25,I will get a bad grade.,"fortune telling,catastrophizing,all-or-nothing thinking",get bad grade,14.598169,7.7193356,11.132901,8.299599,-8.023521,6.8646884,8,5,12,2,3,0
26,26,Everything driving me nuts...,blaming,everything driving nut,9.957479,10.684095,10.854309,-2.3536415,-2.5974908,5.8456864,11,11,4,2,1,0
27,27,I hate myself,all-or-nothing thinking,hate,9.647596,11.516134,8.9858675,-0.34366736,5.5956903,1.3352498,11,4,14,2,1,2
28,28,Can not move have so much to do mind numb,negative feeling or emotion,move much mind numb,12.3041,11.330303,10.858545,-1.9591022,-1.540411,4.1853743,2,11,4,2,1,4
29,29,I am being annoying.,emotional reasoning,annoying,4.6836643,8.899741,-0.50653875,0.37233195,13.349922,8.721662,10,4,3,0,0,1
30,30,I'm not attractive or have a good enough personality.,"labeling,negative feeling or emotion,mind reading,personalizing",im attractive good enough personality,4.6787195,11.916618,-0.87480915,-0.6465632,9.32386,5.292703,4,8,16,0,0,3
31,31,im unlovable,labeling,im unlovable,5.257916,11.335793,-0.8469534,-0.30965906,8.485884,3.2954104,4,8,16,0,0,2
