,thought,original_label,cleaned_thought
0,"Someone I trusted stole something valuable of mine, I was extremely angry and wanted justice",emotional reasoning,someone trusted stole something valuable mine extremely angry wanted justice
1,She doesn't respect me.,overgeneralizing,doesnt respect
2,My friend is ignoring his recently-deceased wife.,disqualifying the positive,friend ignoring recentlydeceased wife
3,he took me for granted!,"labeling,catastrophizing",took granted
4,We will not be able to complete the work that needs to be done,catastrophizing,able complete work need done
5,I failed our company & myself,personalizing,failed company
6,Am I not explaining the material well?,"all-or-nothing thinking,personalizing",explaining material well
7,We won't be able to find the store before it closes.,"fortune telling,all-or-nothing thinking,emotional reasoning,catastrophizing",wont able find store close
8,He doesn't love me.,overgeneralizing,doesnt love
9,Suicidal thoughts,emotional reasoning,suicidal thought
10,I'm not smart enough to succeed at mturk,"all-or-nothing thinking,labeling,overgeneralizing,fortune telling,personalizing",im smart enough succeed mturk
11,My mother in law thinks I am an incompetent father.,"mind reading,negative feeling or emotion,all-or-nothing thinking,labeling,personalizing",mother law think incompetent father
12,I thought I was being taken advantage of.,"labeling,emotional reasoning",thought taken advantage
13,I can't and never will escape this prison at my moms house,negative feeling or emotion,cant never escape prison mom house
14,I'm not who I want to be. I hate my appearance and my voice.,labeling,im want hate appearance voice
15,I am scared of my future life and being in sorrow of breakup and didn't feel light of overthinking,emotional reasoning,scared future life sorrow breakup didnt feel light overthinking
16,"If I don't sleep well one night due to panic attack, then I it will only get worse",fortune telling,dont sleep well one night due panic attack get worse
17,I'm a failure,disqualifying the positive,im failure
18,I am a hard person to love,labeling,hard person love
19,Someone please kill me,negative feeling or emotion,someone please kill
20,I hate everyone,negative feeling or emotion,hate everyone
21,I can't pay my bills.,negative feeling or emotion,cant pay bill
22,I'll screw it over,fortune telling,ill screw
23,"I was searching my brain to figure out why she didn't like me, and it made me so sad to think I'd hurt her feelings or caused a problem for her.",negative feeling or emotion,searching brain figure didnt like made sad think id hurt feeling caused problem
24,Fuck you,negative feeling or emotion,fuck
25,I will get a bad grade.,"fortune telling,catastrophizing,all-or-nothing thinking",get bad grade
26,Everything driving me nuts...,blaming,everything driving nut
27,I hate myself,all-or-nothing thinking,hate
