,Unnamed: 0,thought,original_label,cleaned_thought,all-mpnet-base-v2 x,all-mpnet-base-v2 y,all-MiniLM-L12-v2 x,all-MiniLM-L12-v2 y,All-Distilroberta-v1 x,All-Distilroberta-v1 y,all-mpnet-base-v2 k-mean,all-MiniLM-L12-v2 k-mean,All-Distilroberta-v1 k-mean,all-mpnet-base-v2 aglo,all-MiniLM-L12-v2 aglo,All-Distilroberta-v1 aglo,all-mpnet-base-v2 hdbscan_manual,all-MiniLM-L12-v2 hdbscan_manual,All-Distilroberta-v1 hdbscan_manual
0,0,"Someone I trusted stole something valuable of mine, I was extremely angry and wanted justice",emotional reasoning,someone trusted stole something valuable mine extremely angry wanted justice,5.3119707,8.110824,5.3119707,8.110824,5.3119707,8.110824,3,6,11,1,2,3,-1,24,1
1,1,She doesn't respect me.,overgeneralizing,doesnt respect,4.262681,5.4617944,4.262681,5.4617944,4.262681,5.4617944,13,1,8,0,4,1,3,8,1
2,2,My friend is ignoring his recently-deceased wife.,disqualifying the positive,friend ignoring recentlydeceased wife,3.3057358,7.01002,3.3057358,7.01002,3.3057358,7.01002,1,1,3,0,0,1,4,8,1
3,3,he took me for granted!,"labeling,catastrophizing",took granted,3.2231014,7.1687336,3.2231014,7.1687336,3.2231014,7.1687336,1,16,17,0,2,1,4,8,1
4,4,We will not be able to complete the work that needs to be done,catastrophizing,able complete work need done,8.075245,7.758021,8.075245,7.758021,8.075245,7.758021,15,3,6,1,2,0,14,34,1
5,5,I failed our company & myself,personalizing,failed company,8.516209,9.04583,8.516209,9.04583,8.516209,9.04583,5,3,5,1,2,0,-1,-1,1
6,6,Am I not explaining the material well?,"all-or-nothing thinking,personalizing",explaining material well,6.9293265,8.543648,6.9293265,8.543648,6.9293265,8.543648,16,5,12,1,3,0,-1,-1,-1
7,7,We won't be able to find the store before it closes.,"fortune telling,all-or-nothing thinking,emotional reasoning,catastrophizing",wont able find store close,9.121318,9.644788,9.121318,9.644788,9.121318,9.644788,5,7,1,1,0,0,10,26,1
8,8,He doesn't love me.,overgeneralizing,doesnt love,3.1761506,6.574777,3.1761506,6.574777,3.1761506,6.574777,1,16,3,0,2,1,4,8,1
9,9,Suicidal thoughts,emotional reasoning,suicidal thought,8.367242,4.9121466,8.367242,4.9121466,8.367242,4.9121466,2,11,14,2,1,2,7,30,1
10,10,I'm not smart enough to succeed at mturk,"all-or-nothing thinking,labeling,overgeneralizing,fortune telling,personalizing",im smart enough succeed mturk,8.54798,7.563208,8.54798,7.563208,8.54798,7.563208,8,17,4,2,2,4,-1,-1,1
11,11,My mother in law thinks I am an incompetent father.,"mind reading,negative feeling or emotion,all-or-nothing thinking,labeling,personalizing",mother law think incompetent father,4.2169476,7.850933,4.2169476,7.850933,4.2169476,7.850933,14,12,15,1,2,1,5,-1,1
