,Unnamed: 0,thought,original_label,cleaned_thought,all-mpnet-base-v2 hdbscan_bayesian_optimisation,all-mpnet-base-v2 x,all-mpnet-base-v2 y,all-MiniLM-L12-v2 hdbscan_bayesian_optimisation,all-MiniLM-L12-v2 x,all-MiniLM-L12-v2 y,All-Distilroberta-v1 hdbscan_bayesian_optimisation,All-Distilroberta-v1 x,All-Distilroberta-v1 y
0,0,"Someone I trusted stole something valuable of mine, I was extremely angry and wanted justice",emotional reasoning,someone trusted stole something valuable mine extremely angry wanted justice,3,5.3119707,8.110824,3,6.124867,9.693335,2,1.8912705,7.831264
1,1,She doesn't respect me.,overgeneralizing,doesnt respect,3,4.262681,5.4617944,3,4.55445,6.6623354,2,-0.30290076,6.6790977
2,2,My friend is ignoring his recently-deceased wife.,disqualifying the positive,friend ignoring recentlydeceased wife,3,3.3057358,7.01002,3,4.1695166,8.640812,2,0.09646484,7.20596
3,3,he took me for granted!,"labeling,catastrophizing",took granted,3,3.2231014,7.1687336,3,3.4683743,8.314312,2,1.1785252,8.1361475
4,4,We will not be able to complete the work that needs to be done,catastrophizing,able complete work need done,3,8.075245,7.758021,3,8.039717,10.138038,2,5.683706,7.311488
5,5,I failed our company & myself,personalizing,failed company,3,8.516209,9.04583,3,7.8367915,11.033519,2,5.3973956,5.4796844
6,6,Am I not explaining the material well?,"all-or-nothing thinking,personalizing",explaining material well,3,6.9293265,8.543648,3,10.048679,8.9584675,2,5.914178,6.6374197
7,7,We won't be able to find the store before it closes.,"fortune telling,all-or-nothing thinking,emotional reasoning,catastrophizing",wont able find store close,3,9.121318,9.644788,3,8.687789,10.719167,2,3.2308228,7.44182
8,8,He doesn't love me.,overgeneralizing,doesnt love,3,3.1761506,6.574777,3,3.6504552,8.5421715,2,0.57592607,7.629764
9,9,Suicidal thoughts,emotional reasoning,suicidal thought,3,8.367242,4.9121466,3,7.2862206,6.635194,2,2.6163726,3.4706106
10,10,I'm not smart enough to succeed at mturk,"all-or-nothing thinking,labeling,overgeneralizing,fortune telling,personalizing",im smart enough succeed mturk,3,8.54798,7.563208,3,8.312954,9.740554,2,4.3051767,5.7310257
11,11,My mother in law thinks I am an incompetent father.,"mind reading,negative feeling or emotion,all-or-nothing thinking,labeling,personalizing",mother law think incompetent father,3,4.2169476,7.850933,3,6.1926637,5.6248555,2,0.3303969,6.269851
12,12,I thought I was being taken advantage of.,"labeling,emotional reasoning",thought taken advantage,3,6.3731523,9.145754,3,5.854831,8.500806,2,1.6452712,6.498481
13,13,I can't and never will escape this prison at my moms house,negative feeling or emotion,cant never escape prison mom house,3,8.35839,6.1537685,3,7.889992,7.446699,2,4.407338,4.27265
14,14,I'm not who I want to be. I hate my appearance and my voice.,labeling,im want hate appearance voice,3,7.508223,4.808561,3,6.8529725,7.7549562,2,3.5098221,4.7568755
15,15,I am scared of my future life and being in sorrow of breakup and didn't feel light of overthinking,emotional reasoning,scared future life sorrow breakup didnt feel light overthinking,3,5.0855045,4.879824,3,7.774537,6.7563987,2,1.6555332,4.265078
16,16,"If I don't sleep well one night due to panic attack, then I it will only get worse",fortune telling,dont sleep well one night due panic attack get worse,3,8.773046,5.239646,3,8.2960005,6.9045424,2,2.173045,3.5358758
17,17,I'm a failure,disqualifying the positive,im failure,3,8.384037,7.0836678,3,8.5732355,8.684648,2,4.9001393,5.504621
18,18,I am a hard person to love,labeling,hard person love,3,6.1231074,4.6434145,3,5.2314224,7.886914,2,2.220899,5.423814
19,19,Someone please kill me,negative feeling or emotion,someone please kill,3,8.576791,5.133364,3,7.2309055,7.072995,2,2.9668367,4.0363626
20,20,I hate everyone,negative feeling or emotion,hate everyone,3,6.2346745,5.6931744,3,6.244315,8.151922,2,2.2181346,5.8900447
