,Unnamed: 0,thought,original_label,cleaned_thought,all-mpnet-base-v2 x,all-mpnet-base-v2 y,all-MiniLM-L12-v2 x,all-MiniLM-L12-v2 y,All-Distilroberta-v1 x,All-Distilroberta-v1 y,all-mpnet-base-v2 k-mean,all-MiniLM-L12-v2 k-mean,All-Distilroberta-v1 k-mean
0,0,"Someone I trusted stole something valuable of mine, I was extremely angry and wanted justice",emotional reasoning,someone trusted stole something valuable mine extremely angry wanted justice,5.5538936,5.646594,4.4347153,8.126728,4.236197,8.901676,9,8,1
1,1,She doesn't respect me.,overgeneralizing,doesnt respect,3.6299388,3.6514726,2.9767141,10.13714,1.7170502,7.141547,7,0,4
2,2,My friend is ignoring his recently-deceased wife.,disqualifying the positive,friend ignoring recentlydeceased wife,3.1818094,5.3434315,3.2045207,9.427005,3.0898192,7.865361,0,0,4
3,3,he took me for granted!,"labeling,catastrophizing",took granted,3.2563372,5.6099596,3.25158,8.429303,3.7849808,8.76124,0,4,6
4,4,We will not be able to complete the work that needs to be done,catastrophizing,able complete work need done,8.12507,4.464705,7.7015896,10.233048,8.115777,5.285794,12,3,8
5,5,I failed our company & myself,personalizing,failed company,8.6490965,5.5906982,7.881138,10.851776,7.6283865,6.3351216,5,3,7
6,6,Am I not explaining the material well?,"all-or-nothing thinking,personalizing",explaining material well,7.136821,5.490747,8.832991,7.946063,8.450317,5.981658,10,11,3
7,7,We won't be able to find the store before it closes.,"fortune telling,all-or-nothing thinking,emotional reasoning,catastrophizing",wont able find store close,9.441652,5.520447,8.810634,9.966767,6.917977,7.7409167,5,7,7
8,8,He doesn't love me.,overgeneralizing,doesnt love,2.8551295,5.223312,3.1835308,8.747128,3.274065,8.462314,0,4,6
9,9,Suicidal thoughts,emotional reasoning,suicidal thought,7.310378,1.5119078,5.9158845,7.1584234,4.384127,4.6848702,2,5,2
10,10,I'm not smart enough to succeed at mturk,"all-or-nothing thinking,labeling,overgeneralizing,fortune telling,personalizing",im smart enough succeed mturk,8.566166,3.9730573,7.906045,9.232524,6.500674,5.9868274,1,7,0
11,11,My mother in law thinks I am an incompetent father.,"mind reading,negative feeling or emotion,all-or-nothing thinking,labeling,personalizing",mother law think incompetent father,4.4835477,6.0739264,3.8460734,6.8469872,1.9229965,6.327517,9,8,4
12,12,I thought I was being taken advantage of.,"labeling,emotional reasoning",thought taken advantage,5.6554613,5.3663735,4.567455,8.279565,3.7505028,7.2843394,0,8,1
